"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.680245700E-2,2.368894368E-1,-8.614161611E-2,9.918848038E0,9.922050362E0
3.916740500E-2,2.153540403E-1,-8.614161611E-2,9.935597420E0,9.938304374E0
4.153235300E-2,1.818545163E-1,-7.896314561E-2,9.933204651E0,9.935182982E0
4.389730100E-2,1.938186288E-1,-7.178468257E-2,9.926026344E0,9.928177964E0
4.626224900E-2,2.297109663E-1,-7.657032460E-2,9.947562218E0,9.950508742E0
4.862719700E-2,2.249253243E-1,-7.417750359E-2,9.930811882E0,9.933635706E0
5.099214400E-2,2.225325108E-1,-8.374879509E-2,9.928419113E0,9.931265814E0
5.335709200E-2,2.153540403E-1,-8.374879509E-2,9.949954987E0,9.952637613E0
5.572204000E-2,2.105683982E-1,-7.896314561E-2,9.949954987E0,9.952496092E0
5.808698800E-2,2.153540403E-1,-5.982056633E-2,9.942776680E0,9.945288531E0
6.045193600E-2,2.177468538E-1,-5.503492057E-2,9.935597420E0,9.938135571E0
6.281688400E-2,2.105683982E-1,-6.699903309E-2,9.930811882E0,9.933269983E0
6.518183200E-2,1.986042857E-1,-6.460621208E-2,9.940383911E0,9.942577630E0
6.754678000E-2,2.033899277E-1,-5.982056633E-2,9.945169449E0,9.947428880E0
6.991172800E-2,1.938186288E-1,-5.503492057E-2,9.947562218E0,9.949602433E0
7.227667600E-2,2.081755698E-1,-4.785645381E-2,9.940383911E0,9.942678694E0
7.464162400E-2,2.081755698E-1,-7.896314561E-2,9.945169449E0,9.947661414E0
7.700657200E-2,2.081755698E-1,-8.614161611E-2,9.940383911E0,9.942936676E0
7.937151900E-2,2.081755698E-1,-9.092725813E-2,9.935597420E0,9.938194047E0
8.173646700E-2,2.009970993E-1,-8.374879509E-2,9.930811882E0,9.933198796E0
8.410141500E-2,1.938186288E-1,-6.460621208E-2,9.937990189E0,9.940089970E0
8.646636300E-2,2.081755698E-1,-6.460621208E-2,9.921240807E0,9.923634927E0
8.883131100E-2,2.273181528E-1,-6.460621208E-2,9.928419113E0,9.931231222E0
9.119625900E-2,2.105683982E-1,-6.939185411E-2,9.940383911E0,9.942856058E0
9.356120700E-2,2.105683982E-1,-5.982056633E-2,9.933204651E0,9.935616347E0
9.592615500E-2,2.225325108E-1,-5.264209956E-2,9.923633575E0,9.926267942E0
9.829110300E-2,2.297109663E-1,-5.742774159E-2,9.923633575E0,9.926457999E0
1.006560510E-1,2.177468538E-1,-6.939185411E-2,9.935597420E0,9.938225446E0
1.030209990E-1,2.249253243E-1,-7.178468257E-2,9.942776680E0,9.945579548E0
1.053859470E-1,2.177468538E-1,-7.657032460E-2,9.947562218E0,9.950239735E0
1.077508940E-1,2.033899277E-1,-6.460621208E-2,9.937990189E0,9.940281204E0
1.101158420E-1,2.105683982E-1,-6.221338734E-2,9.940383911E0,9.942808550E0
1.124807900E-1,2.057827413E-1,-7.417750359E-2,9.928419113E0,9.930828512E0
1.148457380E-1,2.081755698E-1,-5.503492057E-2,9.940383911E0,9.942715837E0
1.172106860E-1,2.105683982E-1,-4.546362907E-2,9.933204651E0,9.935540279E0
1.195756340E-1,2.105683982E-1,-5.982056633E-2,9.923633575E0,9.926047597E0
1.219405820E-1,2.153540403E-1,-7.657032460E-2,9.935597420E0,9.938226022E0
1.243055820E-1,2.273181528E-1,-7.178468257E-2,9.923633575E0,9.926496357E0
1.266704780E-1,2.081755698E-1,-5.503492057E-2,9.923633575E0,9.925969436E0
1.290354780E-1,2.249253243E-1,-6.939185411E-2,9.926026344E0,9.928816929E0
1.314004260E-1,2.201396823E-1,-5.503492057E-2,9.930811882E0,9.933403997E0
1.337653740E-1,2.057827413E-1,-6.939185411E-2,9.935597420E0,9.937970510E0
1.361303220E-1,2.105683982E-1,-9.092725813E-2,9.947562218E0,9.950206073E0
1.384952690E-1,2.129612118E-1,-8.614161611E-2,9.949954987E0,9.952606548E0
1.408602170E-1,2.177468538E-1,-6.460621208E-2,9.940383911E0,9.942978425E0
1.432251650E-1,2.177468538E-1,-7.417750359E-2,9.930811882E0,9.933475758E0
1.455901130E-1,2.105683982E-1,-6.221338734E-2,9.926026344E0,9.928454489E0
1.479550610E-1,2.033899277E-1,-8.614161611E-2,9.928419113E0,9.930875789E0
1.503200090E-1,2.009970993E-1,-7.896314561E-2,9.923633575E0,9.925982992E0
1.526849570E-1,2.081755698E-1,-6.699903309E-2,9.918848038E0,9.921258606E0
1.550499050E-1,1.962114573E-1,-6.699903309E-2,9.930811882E0,9.932976011E0
1.574148530E-1,1.938186288E-1,-7.178468257E-2,9.942776680E0,9.944924676E0
1.597798010E-1,2.033899277E-1,-7.417750359E-2,9.937990189E0,9.940348020E0
1.621447490E-1,2.105683982E-1,-6.939185411E-2,9.947562218E0,9.950032581E0
1.645096970E-1,2.105683982E-1,-9.092725813E-2,9.940383911E0,9.943029675E0
1.668746440E-1,2.105683982E-1,-8.374879509E-2,9.942776680E0,9.945358768E0
1.692395920E-1,2.249253243E-1,-6.221338734E-2,9.937990189E0,9.940729898E0
1.716045400E-1,2.105683982E-1,-8.853443712E-2,9.930811882E0,9.933438581E0
1.739694880E-1,2.057827413E-1,-8.374879509E-2,9.949954987E0,9.952435111E0
1.763344360E-1,2.153540403E-1,-8.374879509E-2,9.935597420E0,9.938283922E0
1.786993840E-1,2.129612118E-1,-7.896314561E-2,9.933204651E0,9.935801039E0
1.810643320E-1,2.249253243E-1,-6.699903309E-2,9.947562218E0,9.950330364E0
1.834292800E-1,2.225325108E-1,-5.742774159E-2,9.935597420E0,9.938255116E0
1.857942280E-1,2.153540403E-1,-5.742774159E-2,9.930811882E0,9.933312637E0
1.881591760E-1,2.105683982E-1,-7.178468257E-2,9.930811882E0,9.933303415E0
1.905241240E-1,2.249253243E-1,-8.614161611E-2,9.940383911E0,9.943301468E0
1.928890720E-1,2.057827413E-1,-7.417750359E-2,9.952347755E0,9.954751362E0
1.952540190E-1,2.081755698E-1,-6.221338734E-2,9.930811882E0,9.933188421E0
1.976189670E-1,2.057827413E-1,-6.699903309E-2,9.930811882E0,9.933169688E0
1.999839150E-1,2.081755698E-1,-7.178468257E-2,9.935597420E0,9.938037341E0
2.023488630E-1,2.009970993E-1,-7.657032460E-2,9.959526062E0,9.961848334E0
2.047138110E-1,1.938186288E-1,-7.657032460E-2,9.954740524E0,9.956921592E0
2.070787590E-1,2.105683982E-1,-9.332008660E-2,9.930811882E0,9.933482387E0
2.094437070E-1,2.129612118E-1,-9.810572863E-2,9.933204651E0,9.935971611E0
2.118086550E-1,2.009970993E-1,-9.092725813E-2,9.930811882E0,9.933261913E0
2.141736030E-1,2.153540403E-1,-6.939185411E-2,9.921240807E0,9.923820420E0
2.165385510E-1,2.153540403E-1,-5.982056633E-2,9.918848038E0,9.921365947E0
2.189034990E-1,2.153540403E-1,-9.810572863E-2,9.933204651E0,9.936023185E0
2.212684470E-1,2.081755698E-1,-8.853443712E-2,9.930811882E0,9.933388146E0
2.236333940E-1,2.249253243E-1,-7.417750359E-2,9.937990189E0,9.940811973E0
2.259983420E-1,2.321037948E-1,-8.614161611E-2,9.947562218E0,9.950642523E0
2.283632900E-1,2.273181528E-1,-7.178468257E-2,9.949954987E0,9.952810197E0
2.307282380E-1,2.249253243E-1,-6.699903309E-2,9.926026344E0,9.928800495E0
2.330931860E-1,2.081755698E-1,-6.939185411E-2,9.933204651E0,9.935628160E0
2.354581340E-1,2.153540403E-1,-6.939185411E-2,9.935597420E0,9.938173307E0
2.378230820E-1,2.177468538E-1,-7.178468257E-2,9.928419113E0,9.931066046E0
2.401880300E-1,2.225325108E-1,-7.896314561E-2,9.933204651E0,9.936010796E0
2.425530300E-1,2.368894368E-1,-8.135596663E-2,9.926026344E0,9.929185988E0
2.449179780E-1,2.273181528E-1,-4.785645381E-2,9.921240807E0,9.923960042E0
2.472828740E-1,2.129612118E-1,-7.896314561E-2,9.926026344E0,9.928624610E0
2.496478740E-1,2.153540403E-1,-7.417750359E-2,9.930811882E0,9.933423594E0
2.520128220E-1,1.962114573E-1,-7.417750359E-2,9.926026344E0,9.928242555E0
2.543777690E-1,2.081755698E-1,-9.332008660E-2,9.937990189E0,9.940608366E0
2.567427170E-1,2.225325108E-1,-6.939185411E-2,9.945169449E0,9.947900850E0
2.591076650E-1,2.105683982E-1,-6.939185411E-2,9.937990189E0,9.940462930E0
2.614726130E-1,2.129612118E-1,-8.135596663E-2,9.937990189E0,9.940604622E0
2.638375610E-1,2.201396823E-1,-8.374879509E-2,9.933204651E0,9.935996678E0
2.662025090E-1,2.105683982E-1,-8.135596663E-2,9.928419113E0,9.930985043E0
2.685674570E-1,2.105683982E-1,-6.939185411E-2,9.911669731E0,9.914149038E0
2.709324050E-1,2.129612118E-1,-5.982056633E-2,9.935597420E0,9.938059522E0
2.732973530E-1,2.153540403E-1,-5.982056633E-2,9.945169449E0,9.947680696E0
2.756623010E-1,2.033899277E-1,-6.221338734E-2,9.930811882E0,9.933089278E0
2.780272490E-1,2.201396823E-1,-6.221338734E-2,9.923633575E0,9.926269960E0
2.803921970E-1,2.273181528E-1,-6.460621208E-2,9.930811882E0,9.933623314E0
2.827571440E-1,2.249253243E-1,-7.896314561E-2,9.926026344E0,9.928888436E0
2.851220920E-1,2.153540403E-1,-6.699903309E-2,9.942776680E0,9.945334300E0
2.874870400E-1,2.273181528E-1,-5.982056633E-2,9.942776680E0,9.945554794E0
2.898519880E-1,1.962114573E-1,-6.939185411E-2,9.940383911E0,9.942562369E0
2.922169360E-1,2.057827413E-1,-8.374879509E-2,9.942776680E0,9.945258594E0
2.945818840E-1,2.273181528E-1,-7.417750359E-2,9.923633575E0,9.926513949E0
2.969468320E-1,2.416750938E-1,-6.460621208E-2,9.921240807E0,9.924394186E0
2.993117800E-1,2.225325108E-1,-8.135596663E-2,9.926026344E0,9.928853836E0
3.016767280E-1,2.153540403E-1,-8.614161611E-2,9.937990189E0,9.940696491E0
3.040416760E-1,2.057827413E-1,-7.417750359E-2,9.937990189E0,9.940397267E0
3.064066240E-1,2.297109663E-1,-7.657032460E-2,9.940383911E0,9.943332562E0
3.087715720E-1,2.177468538E-1,-7.657032460E-2,9.947562218E0,9.950239735E0
3.111365190E-1,2.225325108E-1,-7.657032460E-2,9.933204651E0,9.935992068E0
3.135014670E-1,2.297109663E-1,-6.699903309E-2,9.937990189E0,9.940870434E0
3.158664150E-1,2.225325108E-1,-7.896314561E-2,9.942776680E0,9.945580124E0
3.182313630E-1,2.225325108E-1,-8.853443712E-2,9.942776680E0,9.945660721E0
3.205963110E-1,2.201396823E-1,-9.092725813E-2,9.940383911E0,9.943236975E0
3.229612590E-1,2.057827413E-1,-7.896314561E-2,9.933204651E0,9.935649770E0
3.253262070E-1,2.033899277E-1,-7.896314561E-2,9.935597420E0,9.937992691E0
3.276911550E-1,2.081755698E-1,-7.178468257E-2,9.952347755E0,9.954783571E0
3.300561030E-1,2.225325108E-1,-8.374879509E-2,9.940383911E0,9.943227186E0
3.324210510E-1,2.249253243E-1,-8.135596663E-2,9.937990189E0,9.940868130E0
3.347859990E-1,2.273181528E-1,-8.853443712E-2,9.957133293E0,9.960121250E0
3.371509470E-1,2.225325108E-1,-8.614161611E-2,9.940383911E0,9.943247628E0
3.395158940E-1,2.201396823E-1,-6.699903309E-2,9.923633575E0,9.926301108E0
3.418808420E-1,2.273181528E-1,-6.221338734E-2,9.940383911E0,9.943177377E0
3.442457900E-1,2.368894368E-1,-6.699903309E-2,9.937990189E0,9.941038903E0
3.466107380E-1,2.392822653E-1,-7.417750359E-2,9.937990189E0,9.941147182E0
3.489757380E-1,2.368894368E-1,-6.221338734E-2,9.933204651E0,9.936223717E0
3.513406340E-1,2.105683982E-1,-6.699903309E-2,9.923633575E0,9.926093454E0
3.537056340E-1,2.057827413E-1,-6.699903309E-2,9.914062500E0,9.916424288E0
3.560705820E-1,2.129612118E-1,-7.178468257E-2,9.930811882E0,9.933354426E0
3.584354780E-1,2.153540403E-1,-7.417750359E-2,9.926026344E0,9.928639315E0
3.608004780E-1,2.249253243E-1,-8.374879509E-2,9.928419113E0,9.931319718E0
3.631654260E-1,2.129612118E-1,-9.332008660E-2,9.928419113E0,9.931141284E0
3.655303220E-1,2.201396823E-1,-9.092725813E-2,9.921240807E0,9.924099374E0
3.678953220E-1,2.153540403E-1,-1.004985496E-1,9.935597420E0,9.938439184E0
3.702602690E-1,2.177468538E-1,-8.135596663E-2,9.937990189E0,9.940708298E0
3.726252170E-1,2.057827413E-1,-8.614161611E-2,9.935597420E0,9.938101579E0
3.749901650E-1,2.057827413E-1,-8.135596663E-2,9.930811882E0,9.933276900E0
3.773551130E-1,2.129612118E-1,-7.178468257E-2,9.940383911E0,9.942924008E0
3.797200610E-1,2.201396823E-1,-8.135596663E-2,9.942776680E0,9.945546158E0
3.820850090E-1,1.914258152E-1,-7.896314561E-2,9.945169449E0,9.947324987E0
3.844499570E-1,2.033899277E-1,-8.614161611E-2,9.930811882E0,9.933267966E0
3.868149050E-1,2.201396823E-1,-6.939185411E-2,9.926026344E0,9.928709669E0
3.891798530E-1,2.201396823E-1,-6.460621208E-2,9.921240807E0,9.923893116E0
3.915448010E-1,2.129612118E-1,-8.135596663E-2,9.923633575E0,9.926251791E0
3.939097490E-1,2.249253243E-1,-7.417750359E-2,9.926026344E0,9.928851529E0
3.962746970E-1,2.225325108E-1,-6.699903309E-2,9.923633575E0,9.926354463E0
3.986396440E-1,2.081755698E-1,-5.264209956E-2,9.935597420E0,9.937917505E0
4.010045920E-1,2.177468538E-1,-7.417750359E-2,9.947562218E0,9.950221609E0
4.033695400E-1,2.057827413E-1,-7.178468257E-2,9.952347755E0,9.954733820E0
4.057344880E-1,2.225325108E-1,-6.939185411E-2,9.935597420E0,9.938331451E0
4.080994360E-1,2.225325108E-1,-8.374879509E-2,9.928419113E0,9.931265814E0
4.104643840E-1,2.225325108E-1,-7.178468257E-2,9.928419113E0,9.931172128E0
4.128293320E-1,2.177468538E-1,-6.460621208E-2,9.942776680E0,9.945370569E0
4.151942800E-1,2.297109663E-1,-5.982056633E-2,9.945169449E0,9.948001859E0
4.175592280E-1,2.153540403E-1,-5.264209956E-2,9.940383911E0,9.942855770E0
4.199241760E-1,2.009970993E-1,-5.503492057E-2,9.928419113E0,9.930605962E0
4.222891240E-1,2.129612118E-1,-5.982056633E-2,9.933204651E0,9.935667346E0
4.246540720E-1,2.177468538E-1,-5.742774159E-2,9.923633575E0,9.926188341E0
4.270190190E-1,2.081755698E-1,-9.332008660E-2,9.921240807E0,9.923863403E0
4.293839670E-1,2.057827413E-1,-1.028913707E-1,9.930811882E0,9.933476622E0
4.317489150E-1,2.225325108E-1,-8.614161611E-2,9.933204651E0,9.936070437E0
4.341138630E-1,2.129612118E-1,-6.221338734E-2,9.926026344E0,9.928505526E0
4.364788110E-1,2.177468538E-1,-5.024927482E-2,9.933204651E0,9.935718058E0
4.388437590E-1,2.225325108E-1,-5.503492057E-2,9.945169449E0,9.947811062E0
4.412087070E-1,2.201396823E-1,-7.896314561E-2,9.930811882E0,9.933565387E0
4.435736550E-1,2.033899277E-1,-8.135596663E-2,9.933204651E0,9.935619804E0
4.459386030E-1,2.033899277E-1,-6.939185411E-2,9.933204651E0,9.935529041E0
4.483035510E-1,1.890329868E-1,-7.657032460E-2,9.923633575E0,9.925729184E0
4.506684990E-1,2.009970993E-1,-9.092725813E-2,9.923633575E0,9.926085378E0
4.530334470E-1,2.201396823E-1,-8.614161611E-2,9.933204651E0,9.936017134E0
4.553983940E-1,2.249253243E-1,-8.135596663E-2,9.933204651E0,9.936083979E0
4.577633420E-1,2.225325108E-1,-7.896314561E-2,9.923633575E0,9.926442426E0
4.601282900E-1,2.081755698E-1,-8.853443712E-2,9.947562218E0,9.950134144E0
