"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.005683900E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
5.478673400E-2,2.423614264E-3,2.371691167E-3,8.378028870E-3,9.038262711E-3
5.951663000E-2,-9.517535567E-3,1.569859684E-3,2.391815186E-3,9.938245448E-3
6.424647400E-2,-3.546237946E-3,1.207247376E-3,-8.979797363E-3,9.729851514E-3
6.897637000E-2,6.763696671E-3,-6.685249507E-3,-1.292991638E-2,1.605063523E-2
7.370621400E-2,-6.308764219E-3,4.414856434E-3,-8.781433105E-3,1.167925643E-2
7.843610900E-2,-3.305107355E-3,-3.590509295E-4,-1.573657990E-2,1.608392362E-2
8.316600500E-2,1.348823309E-3,-1.077865064E-2,-7.486343384E-3,1.319257258E-2
8.789584900E-2,1.301854849E-3,-5.365982652E-3,1.675033569E-2,1.763695954E-2
9.262574500E-2,-9.563267231E-4,1.618847251E-3,-2.162933350E-3,2.865921823E-3
9.735558900E-2,1.256108284E-3,2.544950694E-2,8.917808533E-3,2.699597230E-2
1.020854840E-1,-1.204121113E-2,7.977426052E-3,-2.797126770E-3,1.471237608E-2
1.068153800E-1,-6.377696991E-5,2.902545035E-3,-9.212493896E-3,9.659134484E-3
1.115452240E-1,6.611317396E-3,-4.016347229E-3,-1.077938080E-2,1.326784132E-2
1.162751200E-1,1.737129688E-2,1.634680480E-2,-1.676464081E-2,2.915532822E-2
1.210049640E-1,-1.064644754E-2,1.082108170E-2,-5.722045898E-6,1.518033883E-2
1.257348590E-1,1.696687937E-2,-1.042261720E-3,6.755828857E-3,1.829214390E-2
1.304647550E-1,9.242892265E-3,1.708986610E-2,-4.924774170E-3,2.004365190E-2
1.351945990E-1,-2.582758665E-3,7.102049887E-3,2.139091492E-3,7.854009634E-3
1.399244950E-1,6.508946419E-3,6.758190691E-3,-9.337425232E-3,1.323733489E-2
1.446543910E-1,1.977184415E-2,1.915469766E-3,-2.049446106E-3,1.996985415E-2
1.493842340E-1,2.822726965E-3,1.839682460E-3,-6.524085999E-3,7.342745889E-3
1.541141300E-1,-6.458163261E-3,1.772440970E-3,1.207923889E-2,1.381149637E-2
1.588439740E-1,-3.865629435E-3,4.004992545E-3,1.845741272E-2,1.927846313E-2
1.635738700E-1,7.809787989E-3,1.302266866E-2,-9.861946106E-3,1.810637094E-2
1.683037660E-1,6.325244904E-4,9.410381317E-4,8.932113647E-3,9.003793323E-3
1.730336090E-1,-1.667112112E-3,1.925122738E-2,2.012538910E-2,2.790018467E-2
1.777635050E-1,9.909301996E-3,1.623954624E-2,1.248168945E-2,2.275323493E-2
1.824933490E-1,9.569227695E-3,-9.762972593E-3,2.129650116E-2,2.530665356E-2
1.872232450E-1,-3.331899643E-5,-1.408244669E-2,1.133060455E-2,1.807481714E-2
1.919531410E-1,1.384246349E-2,2.289339900E-4,4.014968872E-3,1.441479037E-2
1.966829840E-1,1.343926787E-2,9.455494583E-3,3.888130188E-3,1.688602544E-2
2.014128800E-1,-3.217756748E-3,-1.403582096E-2,1.449584961E-3,1.447271658E-2
2.061427760E-1,1.073673368E-2,-6.640478969E-3,8.379936218E-3,1.515245003E-2
2.108726200E-1,8.133143187E-3,-1.872248948E-3,-1.046657562E-2,1.338665528E-2
2.156025160E-1,-3.757327795E-3,-6.491839886E-3,-1.483058929E-2,1.661950288E-2
2.203323590E-1,-1.297175884E-3,-2.263856679E-2,-1.210212708E-2,2.570309031E-2
2.250622550E-1,-1.058581471E-2,-5.740836263E-3,2.203941345E-3,1.224230500E-2
2.297921510E-1,3.627568483E-3,-1.494020224E-2,1.147842407E-2,1.918653474E-2
